,economicActivityFemale,country,region,totalfertitlyrate,contraception,educationMale,lifeMale,infantMortality,gdpPerCapita,economicActivityMale,illiteracyMale,illiteracyFemale,educationFemale,lifeFemale
179,56.8,Switzerland,west,1.46,71.0,14.5,75.3,5.0,42416.0,78.5,,,13.5,81.8
89,34.6,Italy,west,1.19,,,75.1,7.0,19121.0,61.6,1.4,2.4,,81.4
64,,Gabon,other,5.4,,,53.8,85.0,5007.0,,26.3,46.7,,57.2
12,67.0,Bahamas,west,1.95,62.0,12.1,70.5,14.0,12545.0,81.2,1.5,2.0,13.2,77.1
0,7.2,Afghanistan,other,6.9,,,45.0,154.0,2848.0,87.5,52.8,85.0,,46.0
11,,Azerbaijan,other,2.3,17.0,,66.5,33.0,321.0,,0.3,0.5,,74.5
165,76.0,Sierra.Leone,other,6.06,,,36.0,169.0,293.0,80.0,54.6,81.8,,39.1
105,,Liberia,other,6.33,6.0,,50.0,153.0,1124.0,,46.1,77.6,,53.0
29,84.7,Cambodia,other,4.5,,,52.6,102.0,130.0,77.3,,,,55.4
77,39.3,Guyana,west,2.32,,9.4,61.1,58.0,726.0,81.2,1.4,2.5,9.7,67.9
50,42.9,Dominican.Republic,west,2.8,64.0,11.1,68.9,34.0,1508.0,82.6,18.0,17.8,11.3,73.1
40,43.6,Cook.Islands,other,3.5,38.0,,67.0,26.0,5432.0,71.4,3.102,4.104,,73.0
51,,East.Timor,other,4.32,,,46.6,135.0,,,,,,48.4
102,51.5,Latvia,west,1.4,47.0,11.1,62.5,16.0,1764.0,69.8,0.2,0.3,11.7,74.3
129,38.9,Myanmar,other,3.3,17.0,,58.5,78.0,2399.0,73.8,11.3,22.3,,61.8
201,59.5,Virgin.Islands,west,3.03,,,,12.0,,72.3,,,,
187,20.3,Tunisia,other,2.92,60.0,,68.4,37.0,2030.0,75.4,21.4,45.4,,70.7
206,46.7,Zimbabwe,other,4.68,48.0,,47.6,68.0,786.0,77.7,9.6,20.1,,49.4
117,27.4,Malta,west,2.1,,13.7,74.6,8.0,8793.0,74.1,10.758,11.088,13.1,79.1
107,,Liechtenstein,west,1.45,,,66.1,,42416.0,,,,,72.9
7,41.3,Argentina,west,2.62,,,69.6,22.0,8055.0,76.2,3.8,3.8,,76.8
28,90.6,Burundi,other,6.28,9.0,5.1,45.5,114.0,205.0,90.1,50.7,77.5,4.0,48.8
24,53.6,Brazil,west,2.17,74.0,,63.4,42.0,4510.0,84.0,16.7,16.8,,71.2
106,,Libya,other,5.92,40.0,,63.9,56.0,5498.0,,12.1,37.0,,67.5
170,,Somalia,other,7.0,,,47.4,112.0,119.0,,,,,50.6
200,74.1,Viet.Nam,other,2.97,65.0,,64.9,37.0,270.0,81.6,3.5,8.8,,69.6
169,85.0,Solomon.Islands,other,4.98,,,69.6,23.0,686.0,87.0,,,,73.9
184,50.8,Togo,other,6.08,12.0,,48.8,86.0,322.0,77.5,33.0,63.0,,51.5
135,56.2,New.Zealand,other,2.02,69.0,16.0,74.7,7.0,16866.0,74.4,,,16.7,79.7
193,24.2,United.Arab.Emirates,other,3.46,,9.8,73.9,15.0,17690.0,92.5,21.1,20.2,10.3,76.5
136,33.4,Nicaragua,west,3.85,49.0,8.9,65.8,44.0,464.0,84.5,35.4,33.4,9.4,70.6
37,50.2,Colombia,west,2.69,72.0,,68.2,24.0,2215.0,79.0,8.8,8.6,,73.7
180,,Syria,other,4.0,36.0,9.8,66.7,33.0,3573.0,,14.3,44.2,8.5,71.2
137,,Niger,other,7.1,4.0,,46.9,114.0,207.0,,79.1,93.4,,50.2
132,60.2,Netherlands,west,1.55,78.0,15.7,75.0,6.0,25635.0,81.1,,,15.2,80.6
99,34.3,Kuwait,other,2.77,35.0,8.9,74.1,14.0,15757.0,80.1,17.8,25.1,9.1,78.2
185,45.4,Tonga,other,4.02,74.0,,67.0,3.0,1787.0,74.2,0.264,0.504,,71.0
33,68.8,Central.African.Rep,other,4.95,24.0,,46.4,96.0,379.0,87.0,31.5,47.6,,51.0
38,,Comoros,other,5.51,21.0,,57.0,82.0,367.0,,35.8,49.6,,58.0
153,41.9,Reunion,other,2.1,67.0,,70.9,7.0,11854.0,62.6,21.912,20.304,,79.8
63,48.5,French.Polynesia,other,2.85,,,69.8,10.0,19766.0,74.2,,,,75.3
198,79.3,Vanuatu,other,4.36,15.0,,65.5,38.0,1289.0,88.6,34.914,46.368,,69.5
123,33.0,Micronesia,other,5.6,,,64.4,20.0,2104.0,65.0,15.378,22.176,,68.8
182,,Tanzania,other,5.48,18.0,,50.0,80.0,139.0,,20.6,43.2,,52.8
189,62.0,Turkmenistan,other,3.58,20.0,,61.2,57.0,321.0,78.0,0.2,0.4,,68.0
61,48.4,France,west,1.63,77.0,15.2,74.6,7.0,26444.0,62.7,,,15.6,82.9
19,57.8,Benin,other,5.83,16.0,,52.4,84.0,391.0,90.0,51.3,74.2,,57.2
52,48.4,Ecuador,west,3.1,57.0,,67.3,46.0,1565.0,79.7,8.0,11.8,,72.5
118,30.0,Marshall.Islands,other,4.49,27.0,,59.1,26.0,1649.0,77.0,5.94,9.72,,63.0
164,57.0,Seychelles,other,2.59,,,65.3,12.0,7272.0,78.8,15.18,15.12,,74.1
69,,Ghana,other,5.28,20.0,,56.2,73.0,397.0,,24.1,46.5,,59.9
130,49.0,Namibia,other,4.9,29.0,,54.7,60.0,2059.0,68.6,17.688,25.2,,56.6
112,,Madagascar,other,5.65,17.0,,57.0,77.0,215.0,,,,,60.0
176,32.6,Suriname,west,2.39,,,69.0,24.0,967.0,64.2,4.9,9.0,,74.0
60,55.4,Finland,west,1.83,,15.0,73.0,5.0,24453.0,66.9,,,16.0,80.1
143,53.0,Palau,other,3.0,,,65.0,25.0,6417.0,72.0,1.386,3.096,,69.0
75,44.9,Guinea,other,6.61,2.0,,46.0,124.0,442.0,79.9,50.1,78.1,,47.0
70,36.1,Greece,west,1.38,,13.9,75.5,8.0,8684.0,64.7,1.7,4.7,13.6,80.6
203,1.9,Yemen,other,7.6,7.0,,57.4,80.0,732.0,80.6,32.406,69.552,,58.4
191,,Uganda,other,7.1,15.0,,40.4,113.0,305.0,,26.3,49.8,,42.3
93,12.7,Jordan,other,5.13,35.0,,67.7,30.0,1228.0,72.5,6.6,20.6,,71.8
92,50.0,Japan,other,1.48,59.0,14.2,76.9,4.0,41718.0,77.7,,,13.8,82.9
25,46.4,Brunei,other,2.7,,11.8,73.4,9.0,16683.0,82.2,7.4,16.6,12.1,78.1
113,75.3,Malawi,other,6.69,22.0,11.0,40.3,142.0,142.0,80.6,28.1,58.2,9.9,41.1
65,44.8,Gambia,other,5.2,12.0,6.1,45.4,122.0,321.0,70.2,47.2,75.1,4.0,48.7
116,,Mali,other,6.6,7.0,,46.4,149.0,223.0,,60.6,76.9,,49.7
145,,Papua.New.Guinea,other,4.65,,,57.2,61.0,1083.0,,19.0,37.3,,58.7
18,34.0,Belize,west,3.66,47.0,10.6,73.4,30.0,2569.0,79.0,21.252,23.472,10.4,76.1
103,,Lebanon,other,2.75,,,68.1,29.0,3114.0,,5.3,9.7,,71.7
174,44.3,St.Vincent,west,3.86,58.0,,,19.0,2305.0,80.8,,,,
5,,Angola,other,6.69,,,44.9,124.0,355.0,,,,,48.1
178,75.6,Sweden,west,1.8,78.0,13.9,76.2,5.0,26253.0,80.0,,,14.5,80.8
81,43.4,Hungary,west,1.4,73.0,12.3,64.5,14.0,4325.0,61.1,0.7,1.0,12.6,73.8
30,,Cameroon,other,5.3,16.0,,54.5,58.0,627.0,,25.0,47.9,,57.2
159,40.2,Samoa,other,3.8,34.0,11.4,67.5,58.0,1106.0,77.3,1.848,1.656,11.7,71.1
171,50.4,South.Africa,other,3.81,50.0,13.0,62.3,48.0,3230.0,79.6,18.1,18.3,13.2,68.3
78,49.0,Haiti,west,4.6,18.0,,52.8,82.0,386.0,80.3,52.0,57.8,,56.0
8,52.0,Armenia,west,1.7,22.0,,67.2,25.0,354.0,65.0,0.3,0.5,,74.0
205,,Zambia,other,5.49,25.0,7.9,42.2,103.0,382.0,,14.4,28.7,6.8,43.7
111,42.9,Macedonia,west,1.9,,10.3,70.3,23.0,1660.0,67.0,,,10.3,74.7
125,,Monaco,west,,,,,,26470.0,,,,,
131,48.7,Nepal,other,4.95,29.0,,57.6,82.0,203.0,79.8,59.1,86.0,,57.1
122,37.4,Mexico,west,2.75,53.0,,69.5,31.0,2700.0,83.9,8.2,12.6,,75.5
183,65.2,Thailand,other,1.74,74.0,,66.3,30.0,2896.0,83.8,4.0,8.4,,72.3
110,56.4,Macau,other,1.6,,,75.1,8.0,,81.1,5.412,14.616,,80.1
155,50.4,Russia,west,1.35,32.0,,58.0,19.0,2451.0,68.1,0.3,0.6,,71.5
20,,Bhutan,other,5.89,19.0,,51.6,104.0,166.0,,43.8,71.9,,54.9
141,15.8,Oman,other,7.2,9.0,8.8,68.9,25.0,6232.0,84.1,,,8.1,73.3
108,65.1,Lithuania,west,1.5,59.0,,64.9,13.0,1595.0,75.7,0.4,0.7,,76.0
39,49.2,Congo,other,5.87,,,48.6,90.0,1008.0,68.4,16.9,32.8,,53.4
6,56.2,Antigua,west,,53.0,,,24.0,6966.0,74.4,,,,
175,25.9,Sudan,other,4.61,8.0,,53.6,71.0,36.0,74.6,42.3,65.4,,56.4
85,9.9,Iran,other,4.77,65.0,,68.5,39.0,1544.0,79.8,22.3,40.7,,70.0
133,51.1,Netherlands.Antilles,west,2.1,,,73.4,10.0,9039.0,69.8,4.752,6.12,,79.3
126,,Mongolia,other,3.27,61.0,6.2,64.3,52.0,388.0,,11.4,22.8,8.1,67.3
10,47.7,Austria,west,1.42,71.0,14.4,73.7,6.0,29006.0,69.5,,,14.2,80.1
115,20.2,Maldives,other,6.8,,,65.7,49.0,1079.0,77.3,6.7,7.0,,63.3
62,51.5,French.Guiana,west,,,,,22.0,23530.0,74.7,13.464,14.76,,
156,,Rwanda,other,6.0,21.0,,40.8,125.0,238.0,,30.2,48.4,,43.4
56,,Eritrea,other,5.34,5.0,4.6,49.1,98.0,96.0,,,,3.5,52.1
101,,Laos,other,6.69,19.0,8.2,52.0,86.0,359.0,,30.6,55.6,5.7,55.0
59,23.3,Fiji,other,2.76,40.0,,70.6,20.0,2593.0,85.4,6.2,10.7,,74.9
151,35.1,Puerto.Rico,west,2.1,64.0,,72.5,9.0,12213.0,64.0,7.788,9.936,,80.5
67,58.0,Georgia,other,1.9,17.0,10.1,68.5,23.0,343.0,75.0,0.3,0.6,10.4,76.7
148,49.0,Philippines,other,3.62,40.0,11.0,66.6,35.0,1093.0,82.7,5.0,5.7,11.0,70.2
13,29.2,Bahrain,other,2.97,53.0,12.6,71.1,18.0,9073.0,88.2,10.9,20.6,13.3,75.3
181,60.0,Tajikistan,other,3.93,21.0,,64.2,56.0,122.0,75.0,0.3,0.4,,70.2
54,40.6,El.Salvador,west,3.09,53.0,9.6,66.5,39.0,1660.0,79.8,26.5,30.2,9.9,72.5
15,61.4,Barbados,west,1.73,55.0,,73.6,9.0,7173.0,73.4,2.0,3.2,,78.7
4,,Andorra,west,,,,,,,,,,,
23,41.7,Botswana,other,4.45,33.0,10.5,48.9,56.0,3640.0,75.4,19.5,40.1,10.7,51.7
34,25.3,Chad,other,5.51,,,46.3,115.0,187.0,91.2,37.9,65.3,,49.3
68,47.3,Germany,west,1.3,75.0,15.4,73.4,6.0,29632.0,68.1,,,14.8,79.9
109,37.3,Luxembourg,west,1.76,,,73.1,6.0,35109.0,65.7,,,,79.7
80,47.8,Hong.Kong,other,1.32,86.0,12.6,76.1,5.0,22898.0,76.0,4.0,11.8,12.7,81.8
2,7.8,Algeria,other,3.81,52.0,11.1,67.5,44.0,1531.0,76.4,26.1,51.0,9.9,70.3
32,41.1,Cape.Verde,other,3.56,,9.0,65.5,41.0,994.0,85.1,18.6,36.2,8.6,67.5
96,68.0,Kiribati,other,3.8,37.0,,58.0,65.0,654.0,84.0,,,,63.0
49,43.4,Dominica,west,,50.0,,,,2831.0,74.6,,,,
74,18.4,Guatemala,west,4.9,31.0,,64.7,40.0,1392.0,84.0,37.5,51.4,,69.8
190,,Tuvalu,other,,,,,,,,,,,
120,,Mauritania,other,5.03,3.0,,51.9,92.0,401.0,,50.4,73.7,,55.1
139,76.0,Northern.Mariana.Islands,other,5.11,,,,2.0,,88.0,0.528,1.152,,
163,24.3,Senegal,other,5.62,13.0,,50.3,62.0,572.0,83.1,57.0,76.8,,52.3
76,,Guinea.Bissau,other,5.42,,,42.4,132.0,131.0,,32.0,57.5,,45.2
26,53.8,Bulgaria,west,1.45,,11.8,67.8,16.0,1518.0,60.7,0.924,2.376,12.5,74.9
45,52.1,Czech.Republic,west,1.4,69.0,13.1,69.8,9.0,4450.0,71.5,,,13.1,76.0
73,60.0,Guam,other,3.04,,,72.7,10.0,,84.0,1.4,1.2,,76.8
98,48.7,Korea.Republic.of,other,1.65,79.0,15.1,68.8,9.0,9736.0,76.1,0.7,3.3,13.9,76.0
3,42.4,American.Samoa,other,,,,68.0,11.0,,58.8,0.264,0.36,,73.0
154,57.4,Romania,west,1.4,57.0,11.5,66.0,24.0,1570.0,72.7,1.1,3.1,11.4,73.2
90,42.0,Ivory.Coast,other,5.1,11.0,,50.0,86.0,736.0,88.7,50.1,70.0,,52.2
140,65.9,Norway,west,1.88,76.0,14.7,74.8,5.0,33734.0,76.8,,,15.2,80.6
121,38.8,Mauritius,other,2.28,75.0,,68.3,15.0,3508.0,80.1,12.9,21.2,,75.0
88,45.6,Israel,other,2.75,,,75.7,7.0,16738.0,62.1,2.442,6.696,,79.5
16,61.3,Belarus,west,1.4,50.0,,64.4,15.0,994.0,76.4,0.3,0.6,,74.8
197,61.0,Uzbekistan,other,3.48,56.0,,64.3,43.0,435.0,75.0,0.2,0.4,,70.7
173,35.5,Sri.Lanka,other,2.1,66.0,,70.9,15.0,716.0,75.6,6.6,12.8,,75.4
194,53.5,United.Kingdom,west,1.72,82.0,16.1,74.5,6.0,18913.0,71.9,,,16.6,79.8
202,,Western.Sahara,other,3.98,,,59.8,64.0,,,,,,63.1
58,58.4,Ethiopia,other,7.0,4.0,,48.4,107.0,96.0,84.7,54.5,74.7,,51.6
91,62.4,Jamaica,west,2.44,62.0,10.8,72.4,12.0,1779.0,74.0,19.2,10.9,11.1,76.8
97,,Korea.Dem.Peoples.Rep,other,2.1,62.0,,68.9,22.0,271.0,,,,,75.1
17,,Belgium,west,1.62,79.0,15.6,73.9,7.0,26582.0,,,,15.4,80.6
127,25.1,Morocco,other,3.1,50.0,,64.8,51.0,1265.0,74.9,43.4,69.0,,68.5
188,30.6,Turkey,other,2.5,63.0,10.6,66.5,44.0,2814.0,75.9,8.3,27.6,8.7,71.7
124,61.6,Moldova,west,1.8,22.0,,63.5,26.0,383.0,74.9,1.122,4.896,,71.5
87,41.1,Ireland,west,1.8,,13.5,74.0,6.0,17419.0,67.8,,,13.8,79.4
14,55.9,Bangladesh,other,3.14,49.0,,58.1,78.0,280.0,88.8,50.6,73.9,,58.2
72,52.3,Guadeloupe,west,2.1,,,72.1,8.0,9145.0,66.9,9.768,9.576,,78.8
82,76.8,Iceland,west,2.19,,,77.4,5.0,26217.0,86.2,,,,81.2
84,51.3,Indonesia,other,2.63,55.0,10.4,63.3,48.0,1019.0,84.8,10.4,22.0,9.5,67.0
48,,Djibouti,other,5.39,,,48.7,106.0,893.0,,39.7,67.3,,52.0
55,42.4,Equatorial.Guinea,other,5.51,,,48.4,107.0,388.0,89.1,10.4,31.9,,51.6
44,47.6,Cyprus,west,2.31,,,75.4,7.0,11459.0,78.0,2.046,9.0,,79.8
79,34.7,Honduras,west,4.3,47.0,,67.5,35.0,697.0,86.4,27.4,27.3,,72.3
167,51.4,Slovakia,west,1.5,74.0,,67.0,12.0,3266.0,68.2,,,,75.8
36,72.9,China,other,1.8,83.0,,68.2,38.0,582.0,84.9,10.1,27.3,,71.7
66,,Gaza.Strip,other,8.0,,,66.2,37.0,,,,,,69.3
104,,Lesotho,other,4.86,23.0,7.6,57.3,72.0,486.0,,18.9,37.7,9.0,59.9
144,42.5,Panama,west,2.63,64.0,,71.8,21.0,2934.0,81.3,8.6,9.8,,76.4
57,54.1,Estonia,west,1.3,70.0,12.2,63.9,12.0,2433.0,71.5,0.2,0.2,12.9,75.0
161,36.8,Sao.Tome,other,,,,,51.0,49.0,76.8,24.354,53.568,,
1,,Albania,west,2.6,,,68.0,32.0,863.0,,,,,74.0
172,37.0,Spain,west,1.22,59.0,15.1,74.5,7.0,14111.0,63.1,1.8,3.9,15.9,81.5
128,86.5,Mozambique,other,6.06,,4.0,45.5,110.0,77.0,88.2,42.3,76.7,2.8,48.4
21,56.3,Bolivia,west,4.36,45.0,,59.8,66.0,909.0,74.1,9.5,24.0,,63.2
177,27.7,Swaziland,other,4.46,20.0,11.5,57.7,65.0,1389.0,64.3,22.0,24.4,10.8,62.3
35,34.5,Chile,west,2.44,30.0,11.8,72.3,13.0,4736.0,75.5,4.6,5.0,11.7,78.3
9,53.8,Australia,other,1.89,76.0,16.3,75.4,6.0,20046.0,74.0,,,16.1,81.2
83,33.7,India,other,3.07,41.0,,62.1,72.0,365.0,80.4,34.5,62.3,,62.7
47,72.3,Denmark,west,1.82,78.0,14.5,73.0,7.0,33191.0,83.2,,,14.8,78.3
149,51.0,Poland,west,1.65,,13.0,66.7,13.0,3058.0,66.2,0.3,0.3,13.3,75.7
42,44.0,Croatia,west,1.6,,11.5,68.1,10.0,4014.0,64.1,0.924,4.32,11.7,76.5
114,42.2,Malaysia,other,3.24,48.0,,69.9,11.0,4313.0,77.1,10.9,21.9,,74.3
31,57.6,Canada,west,1.61,66.0,17.2,76.1,6.0,18943.0,72.4,,,17.8,81.8
186,44.9,Trinidad.and.Tobago,west,2.1,53.0,10.1,71.5,14.0,4083.0,75.5,1.2,3.0,11.3,76.2
147,33.9,Peru,west,2.98,64.0,12.9,65.9,45.0,2497.0,51.2,5.5,17.0,11.8,70.9
199,41.2,Venezuela,west,2.98,52.0,10.2,70.0,21.0,3496.0,82.1,8.2,9.7,10.7,75.7
43,41.2,Cuba,west,1.55,70.0,10.9,74.2,9.0,1983.0,72.6,3.8,4.7,11.7,78.0
53,21.6,Egypt,other,3.4,47.0,10.8,64.7,54.0,973.0,73.4,36.4,61.2,8.8,67.3
157,,Saint.Kitts,west,2.63,41.0,,67.4,25.0,4819.0,,2.508,2.304,,70.4
100,60.0,Kyrgyzstan,other,3.21,31.0,,63.4,39.0,331.0,75.0,0.3,0.5,,71.9
46,,Dem.Rep.of.the.Congo,other,6.24,8.0,6.8,51.3,89.0,117.0,,13.4,32.3,4.4,54.5
160,55.4,San.Marino,west,,,,73.2,,19121.0,75.9,,,,79.1
94,62.8,Kazakhstan,other,2.3,59.0,,62.8,34.0,995.0,78.5,0.3,0.5,,72.5
196,46.7,Uruguay,west,2.25,,,69.6,17.0,5602.0,74.0,3.1,2.3,,76.1
134,49.9,New.Caledonia,other,2.53,25.0,,70.9,18.0,19450.0,80.8,5.346,7.776,,75.9
41,33.3,Costa.Rica,west,2.95,75.0,,74.5,12.0,2696.0,79.2,5.3,5.0,,79.2
150,49.2,Portugal,west,1.48,66.0,13.9,71.8,8.0,10428.0,67.0,7.5,13.0,14.7,78.9
192,57.1,Ukraine,west,1.38,23.0,,63.6,18.0,694.0,69.1,0.33,2.16,,74.0
146,26.1,Paraguay,west,4.17,56.0,9.2,67.5,39.0,1860.0,85.7,6.5,9.4,9.1,72.0
22,,Bosnia,west,1.4,,,70.5,13.0,271.0,,,,,75.9
158,48.5,Saint.Lucia,west,3.82,47.0,,68.0,18.0,3183.0,78.9,,,,74.8
162,6.9,Saudi.Arabia,other,5.9,,9.0,69.9,23.0,6583.0,78.8,28.5,49.8,8.4,73.4
27,79.4,Burkina.Faso,other,6.57,8.0,3.3,45.1,97.0,165.0,88.9,70.5,90.8,2.0,47.0
168,51.3,Slovenia,west,1.3,,,69.2,7.0,9652.0,64.5,0.264,0.432,,77.8
71,56.2,Grenada,west,,54.0,,,14.0,2485.0,69.4,,,,
166,51.5,Singapore,other,1.79,74.0,,75.1,5.0,25581.0,78.7,4.1,13.7,,79.5
195,59.3,United.States,west,1.96,71.0,15.4,73.4,7.0,26037.0,74.9,2.244,2.232,16.2,80.1
86,10.3,Iraq,other,5.25,14.0,9.4,60.9,95.0,11308.0,74.0,29.3,55.0,7.1,63.9
95,,Kenya,other,4.85,33.0,,52.3,65.0,330.0,,13.7,30.0,,55.7
119,54.1,Martinique,west,2.0,,,73.7,7.0,12717.0,65.7,7.656,6.48,,80.3
138,37.2,Nigeria,other,5.97,6.0,,50.8,77.0,587.0,78.3,32.7,52.7,,54.0
142,12.7,Pakistan,other,5.02,18.0,,62.9,74.0,504.0,82.3,50.0,75.6,,65.1
152,27.5,Qatar,other,3.77,32.0,10.6,70.0,17.0,14013.0,93.0,20.8,20.1,11.6,75.4
204,,Yugoslavia,west,1.8,,,69.8,19.0,1487.0,,1.782,9.072,,75.3
